Question,Answer
What is the ACPC?,"The Gujarat Admission Committee for Professional Courses is commonly referred to as ACPC. The Government of Gujarat, in the Legislative Assembly, has passed an act, Act No.2 of 2008 called “Gujarat Professional Technical Educational Colleges or Institutions (Regulation of Admission and Fixation of Fees) Act, 2007” to make special provision for the regulation of admission in the professional technical education colleges or institutions in the State and fixation of fees in such colleges or institutions and for matter connected therewith. As per the powers conferred to the State Government, in Section 20(1) of the said Act, the Government of Gujarat, Education Department by way of a notification had constituted two different Committees called “Admission Committee for Professional Courses (ACPC)” to regulate the admission of candidates to the professional degree courses respectively. The mission assigned to these Committees is to carry out the counseling process fairly and transparently. The admission process is conducted by these Committees strictly based on merit and the preference of the candidate."
Could you please guide me on how to register on the website?,"For the New Registered candidate: Creation of User I’d: Step 1: Visit to Admission Committee website at www.gujacpc.nic.in. Step 2: Click on “New Candidate Registration” Step 3: Enter your name as per the qualifying examination in Candidate Name. Step 4: Choose ISD Code: for India (India (91)) (enter the correct code as mobile will be verified) Step 5: Enter Mobile number (ten-digit number e.g. 9999999999) Step 6: Enter your valid e-mail address (e.g. @gmail.com or @yahoo.co.in etc.) Step 7: Create your own User ID. In case the User ID is not available the portal will display a message. You need to choose an alternate user ID immediately. This process is similar to ID creation during the generation of e-mail. Verification of submitted : Step 8: Review the submitted particulars carefully. If you would like to change any particulars entered, you may do so by pressing the ‘EDIT’ button or pressing the SUBMIT button for final submission. Mobile number verification: Step 9: For mobile number verification, OTP will be sent to the number that you have provided. The OTP will be valid for 15 Minutes. You have to submit the OTP. Conformation of User I’D: You will receive an SMS confirmation for the creation of a User Profile with ID. you are requested to use the created user ID and given password every time. After successfully creating a user ID, candidates can create their profiles. Step 1: Log in to the portal by entering the User ID (you have created), Password (you have set), and Security PIN as shown below. Step 2: View/ Edit application form. Step 3: View/ Edit contact details. Step 4: View/Edit Upload Documents."
What kind of personal details should be entered?,"Candidate Name: As per the mark sheet Father Name: Enter father’s Name Mother Name: Enter mother’s Name Date of Birth: as per HSC certificate/school leaving certificate Gender: Male/Female/Transgender Nationality: Indian / Other than Indian Domicile: Choose the State of domicile Category: General /General-EWS /Schedule Caste (SC) /Schedule Tribe (ST) / Socially and Educationally Backward Class(SEBC). (For the non-general candidates, they need to upload relevant documents)"
What documents do I need to carry for the registration process?,"For the TFWS candidates – an income certificate is required. Cast certificate for the SC, ST, SEBC(NCL- certificate if cast is not mentioned then add cast certificate also), and EWSs candidates. Certificate of In-Servicemen / Ex-Servicemen (The Candidate needs to upload the serving certificate of the father/mother who is serving in defense services for a serviceman. The Candidate needs to upload the certificate of father/mother issued by the District Sainik Welfare Board for ex – servicemen.) Certificate of physically handicapped/disabled (The Candidate needs to have more than 45% of a Physical Disability certificate issued by a Civil Surgeon and the same needs to be uploaded in the document uploading section.) Certificate for tuition fee waiver (TFW) candidates (The candidate who is willing to avail benefits of the TFW scheme should have a family income of less than 8 Lakh. The candidate needs to upload the valid income certificate issued by the Government as mentioned in the document uploading section.)"
What are the steps of the admission process?,The online Admission Process carried out by ACPC consists of three phases: 1. Advertisement of admission process and Online Registration on www.gujacpc.nic.in 2. Preparation and declaration of merit and online Choice filling 3. Admission allotment & confirmation For the entire admission process candidates are advised to visit the following websites regularly (at least once a day) updating themselves for the latest announcements and activities.
What is the format of uploading photographs/documents in the profile?,Photograph: Applicant’s recent photograph in the format of .jpg. School leaving certificate: the available school leaving certificate in the format of .pdf.
What are the next steps after the successful completion of registration?,"· After the successful creation of a common profile by the candidate, the candidates will be offered various courses with a tentative schedule for the concerned course. The candidate shall have to apply for the course, for which he is eligible and intends to seek admission. · The candidate shall have to fill in the relevant academic details and upload all applicable documents. · Accordingly, all the candidates are advised to keep the PDF scanned copy of all related documents ready for the same. · After submission of the application form, the website will direct you to the payment prerequisite registration fee. The payment can be done by Net banking/Credit Card or any mode of UPI."
Tell me about the registration process.,1) Admission Advertisement in leading newspapers 2) Online Registration on www.gujacpc.nic.in 3) Online Filling of Registration Form 4) Uploading the required documents 5) Online Payment of Registration Fees 6) Confirmation of Registration
What are the other stages after the registration process?,"After the registration process, ACPC will declare a merit list of all eligible candidates. Candidate needs to verify merit number and category as mentioned in registration details"
After declaration of merit how can I proceed next?,"After merit declaration, choice filling will be initiated online. Candidate are advised to fill maximum number of choices available to ensure admission."
